city,lat,lng,country,iso2,admin_name,capital,population,population_proper,elevation
Fatehpur Sīkri,27.0911,77.6611,India,IN,Uttar Pradesh,,32905.0,32905.0,180
Mangūr,17.9373,80.8185,India,IN,Telangana,,32091.0,32091.0,77
Pedana,16.2667,81.1667,India,IN,Andhra Pradesh,,30721.0,30721.0,8
Uran,18.89,72.95,India,IN,Mahārāshtra,,30439.0,30439.0,-1
Chimākurti,15.5819,79.868,India,IN,Andhra Pradesh,,30279.0,30279.0,67
Devarkonda,16.7,78.9333,India,IN,Telangana,,29731.0,29731.0,347
Bandipura,34.4225,74.6375,India,IN,Jammu and Kashmīr,,27482.0,27482.0,1611
Silvassa,20.2666,73.0166,India,IN,Dādra and Nagar Haveli,,27359.0,27359.0,44
Pāmidi,14.95,77.5833,India,IN,Andhra Pradesh,,26886.0,26886.0,308
Narasannapeta,18.4151,84.0447,India,IN,Andhra Pradesh,,26280.0,26280.0,30
Jaynagar-Majilpur,22.1772,88.4258,India,IN,West Bengal,,25922.0,25922.0,5
Khed Brahma,24.0299,73.0463,India,IN,Gujarāt,,25001.0,25001.0,209
Khajurāho,24.85,79.9333,India,IN,Madhya Pradesh,,24481.0,24481.0,213
Koilkuntla,15.2333,78.3167,India,IN,Andhra Pradesh,,23859.0,23859.0,193
Diu,20.7197,70.9904,India,IN,Damān and Diu,,23779.0,23779.0,0
Kulgam,33.64,75.02,India,IN,Jammu and Kashmīr,,23584.0,23584.0,1719
Gauripur,26.08,89.97,India,IN,Assam,,23477.0,23477.0,28
Abu,24.5925,72.7083,India,IN,Rājasthān,,22943.0,22943.0,1166
Curchorem,15.25,74.1,India,IN,Goa,,22730.0,22730.0,7
Kavaratti,10.5626,72.6369,India,IN,Lakshadweep,admin,10688.0,10688.0,15
Panchkula,30.6915,76.8537,India,IN,Haryāna,minor,,,336
Kagaznāgār,19.3316,79.4661,India,IN,Telangana,minor,,,175
