Accession,lat,lng
Acc_0317,10.35295,-75.428627
Acc_0318,10.35295,-75.428627
Acc_0319,10.35295,-75.428627
Acc_0320,10.35295,-75.428627
Acc_0321,10.35295,-75.428627
Acc_0322,-5.9,-77.35
Acc_0323,21.334033,-157.802483
Acc_0324,21.334033,-157.802483
Acc_0325,4.17336,-72.04811
Acc_0326,14.76721,-90.16979
Acc_0327,14.783,-91.484
Acc_0328,16.234579,-91.229044
Acc_0329,-12.868387,-71.379922
Acc_0330,15.76689,-96.195152
Acc_0331,14.517462,-91.135531
Acc_0332,20.679519,-88.568611
Acc_0333,10.306428,-84.807536
Acc_0334,8.213794,-82.215547
Acc_0335,6.111258,-77.386966
Acc_0336,6.119915,-77.366514
Acc_0337,5.859293,-74.181195
Acc_0338,5.90611,-74.180569
Acc_0339,5.90611,-74.180569
Acc_0340,9.662508,-73.224088
Acc_0341,5.854589,-74.105616
Acc_0342,9.665729,-73.21376
Acc_0343,-15.293333,-39.075278
Acc_0344,-25.882778,-48.574722
Acc_0345,-16.3775,-39.580278
Acc_0346,-16.3775,-39.580278
Acc_0347,-13.981389,-60.356111
Acc_0348,-24.0725,-47.633333
Acc_0349,-22.513333,-45.1525
Acc_0350,-20.402778,-43.394167
Acc_0351,-23.43,-45.07
Acc_0352,-19.016667,-57.65
Acc_0353,15.754567,-96.149261
Acc_0354,-26.970688,-49.540091
Acc_0355,0.13,-70.95
Acc_0356,1.3,-76.51
Acc_0357,6.21,-68.1
Acc_0358,3.99,-68.22
Acc_0359,3.25,-73.96
Acc_0360,1.05,-69.49
Acc_0361,1.07,-76.62
Acc_0362,1.2,-76.7
Acc_0363,1.34,-70.54
Acc_0364,1.49,-71.44
Acc_0365,1.27,-72.61
Acc_0366,-0.02,-74.95
Acc_0367,0.63,-77.05
Acc_0368,-2.55,-70.17
Acc_0369,1.93,-75.2
Acc_0370,3.34,-73.94
Acc_0371,3.34,-73.94
Acc_0372,3.8,-73.91
Acc_0373,4.75,-70.45
Acc_0374,-0.15,-74.76
Acc_0375,-1.45,-72.79
Acc_0376,-0.6,-72.38
Acc_0377,3.57,-73.75
Acc_0378,1.6,-75.9
Acc_0379,-26.102778,-48.960556
Acc_0380,-26.910278,-49.500278
Acc_0381,43.166667,-81.85
Acc_0382,4.730278,-56.767778
Acc_0383,4.683333,-56.133333
Acc_0384,4.866667,-55.2
Acc_0385,4.95,-55.166667
Acc_0386,5.688611,-55.846111
Acc_0387,4.756111,-56.875
Acc_0388,-27.229654,-49.625831
Acc_0389,11.300404,-60.501294
Acc_0390,-11.480833,-41.271528
Acc_0391,15.296614,-92.386937
Acc_0392,13.433611,-87.114167
Acc_0393,-27.229804,-49.625869
Acc_0394,20.465721,-105.292793
Acc_0395,9.781125,-84.605923
Acc_0396,17.026207,-91.595543
Acc_0397,9.779496,-84.603943
Acc_0398,9.758808,-84.610319
Acc_0399,3.068964,-75.380531
Acc_0400,5.210211,-72.598093
Acc_0401,5.227975,-72.626122
Acc_0402,-27.3006,-50.4224
Acc_0403,-27.3006,-50.4224
Acc_0404,-27.3006,-50.4224
Acc_0405,-22.4274,-42.9715
Acc_0406,-22.4274,-42.9715
Acc_0407,-22.9335,-43.3886
Acc_0408,-27.3006,-50.4224
Acc_0409,15.754631,-96.149078
Acc_0410,-12.219129,-70.981656
Acc_0411,10.704505,-84.990487
Acc_0412,14.523338,-91.14173
Acc_0413,14.52404,-91.141023
Acc_0414,9.377128,-84.146958
Acc_0415,9.134742,-79.722485
Acc_0416,9.377863,-84.148247
Acc_0417,9.141154,-79.725238
Acc_0418,9.274648,-79.50698
Acc_0419,-27.467759,-48.439308
Acc_0420,15.496,-88.886
Acc_0421,14.96199,-89.91384
Acc_0422,15.082,-90.263
Acc_0423,-25.631667,-48.734722
Acc_0424,-25.302778,-48.681944
Acc_0425,-6.84983,39.299914
Acc_0426,3.594528,-73.548333
Acc_0427,20.575425,-90.004319
Acc_0428,9.773063,-84.602188
Acc_0429,-27.229963,-49.626532
Acc_0430,20.391946,-87.334783
Acc_0431,16.760349,-93.140764
Acc_0432,7.537393,-80.955896
Acc_0433,-24.061705,-48.000861
Acc_0434,12.19118,-85.251548
Acc_0435,-26.928678,-49.54204
Acc_0436,15.795887,-88.803265
Acc_0437,9.134764,-79.722412
Acc_0438,8.540835,-83.570964
Acc_0439,10.456326,-85.339465
Acc_0440,10.765504,-85.058457
Acc_0441,10.770597,-85.346
Acc_0442,-23.841842,-45.358333
Acc_0443,-0.014151,-78.685981
Acc_0444,10.373279,-84.587461
Acc_0445,-0.024044,-78.68669
Acc_0446,8.446098,-83.477816
Acc_0447,-26.366587,-49.233471
Acc_0448,19.747062,-90.464852
Acc_0449,10.692591,-61.289532
Acc_0450,9.821148,-84.85614
Acc_0451,10.717121,-61.298253
Acc_0452,11.876905,-85.992493
Acc_0453,-27.749563,-48.537342
Acc_0454,9.69768,-82.822922
Acc_0455,-0.014151,-78.685981
Acc_0456,10.361525,-84.111992
Acc_0457,20.681944,-88.57
Acc_0458,-27.229862,-49.626358
Acc_0459,14.003247,-86.988627
Acc_0460,7.346958,-80.782203
Acc_0461,-27.229862,-49.626358
Acc_0462,9.944897,-85.657077
Acc_0463,-27.769894,-48.49241
Acc_0464,-27.229804,-49.625869
Acc_0465,10.7125,-85.0374
Acc_0466,20.376284,-89.772865
Acc_0467,-25.717078,-48.994483
Acc_0468,16.826524,-99.845562
Acc_0469,8.9544,-79.549535
Acc_0470,10.989197,-85.425836
Acc_0471,9.267102,-75.318119
Acc_0472,-3.614848,-72.236481
Acc_0473,5.828239,-74.903553
Acc_0474,4.846003,-76.132019
Acc_0475,-25.316667,-48.666667
Acc_0476,-25.283333,-48.333333
Acc_0477,-20.524444,-41.120556
Acc_0478,-20.278333,-40.540555
Acc_0479,-25.416667,-48.25
Acc_0480,-23.365833,-44.834444
Acc_0481,-26.868611,-49.506389
Acc_0482,-27.510278,-48.431389
Acc_0483,6.158463,-75.591295
Acc_0484,15.85626,-89.38244
Acc_0485,15.80031,-89.60019
Acc_0486,15.84079,-89.39656
Acc_0487,15.800868,-92.630826
Acc_0488,8.381031,-83.294381
Acc_0489,20.598933,-88.153462
Acc_0490,20.891195,-88.135097
Acc_0491,17.487118,-92.050774
Acc_0492,17.484734,-92.049324
Acc_0493,9.267069,-75.31864
Acc_0494,13.569866,-86.491191
Acc_0495,-14.768611,-39.368611
Acc_0496,-25.87,-48.967778
Acc_0497,5.996833,-74.31475
Acc_0498,5.835083,-74.305478
Acc_0499,19.681631,-96.428326
Acc_0500,6.709415,-77.50941
Acc_0501,14.599277,-90.497469
Acc_0502,11.979799,-86.257345
Acc_0503,10.702837,-84.992758
Acc_0504,10.716553,-85.026689
Acc_0505,9.480263,-84.033241
Acc_0506,-22.968452,-43.241768
Acc_0507,17.091198,-89.122263
Acc_0508,16.827871,-93.107031
Acc_0509,-22.944435,-43.215208
Acc_0510,-23.076792,-44.976228
Acc_0511,-25.514444,-48.551667
Acc_0512,2.461,-72.710111
Acc_0513,1.07775,-76.629167
Acc_0514,16.06578,-91.246839
Acc_0515,16.103294,-89.511389
Acc_0516,-26.392329,-48.802994
Acc_0517,16.827871,-93.107031
Acc_0518,16.765458,-91.11838
Acc_0519,16.827871,-93.107031
Acc_0520,16.827871,-93.107031
Acc_0521,14.3999,-89.35513
Acc_0522,1.347529,103.762502
Acc_0523,10.485914,-84.747455
Acc_0524,-22.523125,-43.395105
Acc_0525,16.80319,-93.09471
Acc_0526,9.825373,-83.769211
Acc_0527,15.682806,-88.104437
Acc_0528,10.19001,-83.941061
Acc_0529,-19.908056,-40.5525
Acc_0530,-15.7083,128.6978
Acc_0531,14.481792,-90.606453
Acc_0532,14.4333,-91.15
Acc_0533,14.700904,-91.332123
Acc_0534,14.385537,-90.30152
Acc_0535,14.524378,-91.136365
Acc_0536,16.1,-90.431944
Acc_0537,14.4167,-91.3333
Acc_0538,16.1,-90.431944
Acc_0539,16.999573,-89.719465
Acc_0540,14.52388,-91.136193
Acc_0541,20.366667,-90.05
Acc_0542,16.2667,-89.45
Acc_0543,14.463889,-91.132222
